frequency,e',e'',u',u''
9020343750.0000,   4.2977,   0.4455,   0.9870,   0.0194
9022937500.0000,   4.2892,   0.4457,   0.9885,   0.0199
9025531250.0000,   4.2934,   0.4463,   0.9882,   0.0207
9028125000.0000,   4.2813,   0.4472,   0.9906,   0.0209
9030718750.0000,   4.2800,   0.4442,   0.9906,   0.0207
9033312500.0000,   4.2805,   0.4492,   0.9913,   0.0213
9035906250.0000,   4.2759,   0.4501,   0.9924,   0.0213
9038500000.0000,   4.2693,   0.4524,   0.9942,   0.0218
9041093750.0000,   4.2675,   0.4555,   0.9944,   0.0203
9043687500.0000,   4.2678,   0.4560,   0.9957,   0.0206
9046281250.0000,   4.2640,   0.4585,   0.9966,   0.0215
9048875000.0000,   4.2586,   0.4612,   0.9975,   0.0214
9051468750.0000,   4.2624,   0.4584,   0.9989,   0.0206
9054062500.0000,   4.2579,   0.4624,   1.0002,   0.0201
9056656250.0000,   4.2552,   0.4646,   1.0017,   0.0208
9059250000.0000,   4.2587,   0.4648,   1.0019,   0.0182
9061843750.0000,   4.2561,   0.4700,   1.0035,   0.0200
9064437500.0000,   4.2557,   0.4696,   1.0052,   0.0177
9067031250.0000,   4.2564,   0.4691,   1.0051,   0.0170
9069625000.0000,   4.2574,   0.4747,   1.0057,   0.0178
9072218750.0000,   4.2569,   0.4764,   1.0066,   0.0186
9074812500.0000,   4.2589,   0.4769,   1.0071,   0.0171
9077406250.0000,   4.2618,   0.4786,   1.0077,   0.0160
9080000000.0000,   4.2622,   0.4771,   1.0088,   0.0157
9082593750.0000,   4.2663,   0.4833,   1.0088,   0.0159
9085187500.0000,   4.2656,   0.4835,   1.0090,   0.0160
9087781250.0000,   4.2734,   0.4850,   1.0084,   0.0143
9090375000.0000,   4.2721,   0.4870,   1.0093,   0.0152
9092968750.0000,   4.2745,   0.4853,   1.0092,   0.0135
9095562500.0000,   4.2770,   0.4861,   1.0089,   0.0131
9098156250.0000,   4.2759,   0.4880,   1.0090,   0.0141
9100750000.0000,   4.2809,   0.4903,   1.0090,   0.0138
